id,post_url,post_date,author,state,county,section_township_range,operator,bonus_amount_text,bonus_per_acre,royalty_text,royalty_decimal,term_text,term_years,additional_terms,confidence,extracted_at,raw_content
1,https://www.mineralrightsforum.com/t/concern-with-profile-energy-llc-letter/83688,2025-09-17T13:28:00Z,Alice15,oklahoma,,,"Profile Energy LLC",40%,0.4,40%,0.4,"until Oct 1st 2025",2.0,,,"2025-10-18 09:37:42","I received a letter yesterday from Profile Energy LLC Oklahoma. It’s offering a lease for 40% if I sign by Oct 1st 2025 today if 9/17/25."
2,https://www.mineralrightsforum.com/t/black-diamond-lease/83694,2025-09-17T14:23:30Z,raineygal,Oklahoma,,,"Black Diamond",$6000,6000.0,,,"3 years",3.0,,,"2025-10-18 09:38:11","I signed a 3 years lease with Black Diamond.in June 2025. When I received a check for the lease amount, it was $6000 short. I called and was told it looked like they got my rights mixed up with my brother, who has  less than I do. So they sent another check. It was over a $1000 short. Again, they showed my brothers acreage on the check stub. Finally they said they would have their examiner recheck. So this week, I got the final check. It has took from June 2025 to September 15, 2025, to get the full amount due. I would never lease with again. Just beware, if you lease with them, It will take about 45 days before you will receive a check. Always check the check stub that shows the amount of acreage. I suggested they fire their examiner."
3,https://www.mineralrightsforum.com/t/offer-to-lease/83697,2025-09-17T16:10:43Z,Shawn_Orton,texas,"Glasscock County","Section 43-4S-35",Diamondback,"",,"",,"3 years",3.0,,1.0,"2025-10-18 09:38:22","Ive recently been approached to lease mineral rights in the Clark 43B. It is presently being operated by Diamondback but Endeavor had it for many years. The company wants a 3 year lease with no option to extend. My issue is ethically, it feels wrong to lease something that is already leased! Ive offered to do a top lease. I wish I had the original lease agreement(probably dates back to early 60’s).Im being told the well is about to be shutdown due to poor production. Any thoughts, suggestions or  ideas would be appreciated."
4,https://www.mineralrightsforum.com/t/unusual-well/83115,2025-08-16T14:49:25Z,MMarks,oklahoma,"Grady County","Sections 32-8N-8W",Continental,"rising with % decreases",,,,,,,0.6,"2025-10-18 09:38:26","This is an unusual well, with 6 sections, offset, running NW to SE. Sec 32 & 33 8N 8W and S3,4,9,10 7N 8W   But it seems more unusual to me that all the usual corporation commission applications:   spacing, increased density, Multiunit Horizontal Well application and Pooling applications were all made on the same day.  (7-30-25).  We received one letter from Continental in June with 3 offers, bonus money rising with % decreases.   Like you would get with pooling order options.   No contact from a land man.   No real lease negotiations.   Just an offer..take it or get pooled.    Has anyone else seen this?  Is this as unusual as it seems to me?   Usually if we wait around a bit, then other landmen start bidding on the lease and we have more options, including using our own lease.  It is looking like the oil company might be trying to make that process a bit more difficult or unlikely to happen?   Any comments or advice?"
5,https://www.mineralrightsforum.com/t/burke-co-nd-lease-rates/82913,2025-08-14T21:46:46Z,Dale_Dorning,north_dakota,"Burke County","Sec 12-161N-94W","Liberty Resources","$800 / acre",800.0,18.75,0.1875,,,,1.0,"2025-10-18 09:39:10","I just recently (late April} leased a few acres:
Township 161 North, Range 94 West 5th P.M.
Sec. 12: NE
$800 / acre    18.75 royalty"
6,https://www.mineralrightsforum.com/t/burke-co-nd-lease-rates/82913,2025-08-15T16:06:44Z,Beth7,north_dakota,"Burke County","Sec 12-161N-94W",Silverhill,,,18.75%,0.1875,,,,1.0,"2025-10-18 09:39:13","A few years ago we signed with what was Liberty Resouces which is now Silverhill. We’re in Sec19-T161N-R93W. We had been with Diamond Resources/Continental with our lease before that. Our royalties are at 18.75. Bonus amount really doesn’t matter, as the royalty is the most important part. They have started doing more in this area of Burke County, more than when we signed, so I would play your cards right and not take what is offered right off the start. Silverhill is just finishing a well in 159 but can’t remember the range/section. You can look at the Confidential Oil List ND and see what’s in your area too."
7,https://www.mineralrightsforum.com/t/burke-co-nd-lease-rates/82913,2025-08-25T13:15:52Z,Dale_Dorning,north_dakota,"Burke County","Sec 12-161N-94W",Lynx,$1125/acre,1125.0,,,"4 years",4.0,,1.0,"2025-10-18 09:39:15","I leased with Phoenix,  I got a letter this week from Lynx offering $1125/ acre for a straight 4 years. Same land I already leased, but they are trying to contact my siblings.  So it might be heating up."
8,https://www.mineralrightsforum.com/t/burke-co-nd-lease-rates/82913,2025-09-06T17:41:09Z,Rick_Tatum,north_dakota,"Burke County","Sec 12-161N-94W","Liberty Resources",$150/acre,150.0,17%,0.17,"",,,0.8,"2025-10-18 09:39:18","I have interests in 160 92 Sec 2. Was offered 17% and $150 an acre. Which is a big NO."
9,https://www.mineralrightsforum.com/t/cnx-offering-but-i-have-no-clue/82971,2025-08-10T17:46:18Z,Grayfamily1,west_virginia,"Marshall County",,CNX,"",0.0,13%,0.13,"all time",0.0,,1.0,"2025-10-18 09:39:27","CNX has been trying to get me to amend the family’s 1968 lease in Marshall Co. for 10 years. I have 20.6 acres and they tell me my net is .68667. Now they want me to sign a binding for all time lease that allows pooling and are offering 13% RI on my net. Is this fair? I can’t figure out how many people may have interest in this. It is not above ground and is only gas and oil rights. Also, I have been paying the taxes on this property for at least 8 years. Should I have received a lease payment from them in this time?"
10,https://www.mineralrightsforum.com/t/lease-and-bonus-rates-for-rusk-county/83616,2025-09-12T17:52:16Z,Robert_Tilden,texas,"Rusk County",,TGNR,"$1,000 per acre",1000.0,20%,0.2,"",,,1.0,"2025-10-18 09:39:38","Hello. I received a oil & gas lease proposal for minerals in Rusk County, Texas.  The royalty is 20% with a signing bonus of $1,000 per acre.  Is that the current rate for Rusk County? Thank you for any assistance."
11,https://www.mineralrightsforum.com/t/proposed-antero-lease-west-virginia/83624,2025-09-16T01:07:28Z,Dodi_Gum,west_virginia,"Wetzel County",,Antero,,,15%,0.15,,,,0.6,"2025-10-18 09:39:45","You are navigating the same waters as my siblings and me.  Antero would only agree to 15% gross plus a signing bonus.  Interestingly enough only one of us that signed and returned the lease has received any money. Tried calling, left messages,….crickets.  Never an answer.  Additionally, my sister started receiving the royalty payments in less than one month of signing.  Clearly they were already drilling."
12,https://www.mineralrightsforum.com/t/question-on-mineral-rights-offer/82766,2025-09-12T21:57:52Z,hollym,colorado,"Weld County","Section 8-8N-59W","BLACKWELL ENERGY, LLC",,,,,,,,0.8,"2025-10-18 09:42:18","Tim- you seem to have experience with leasing and I need help understanding a lease offer I received from Civitas about a well starting in Erie, CO. How do I decide if I should sign it as is,  negotiate, or not sign at all?"
13,https://www.mineralrightsforum.com/t/new-lease-help/82214,2025-07-15T18:57:07Z,user79,arkansas,"Columbia County",,Saltwerx,"$400 per acre",400.0,"",,"",,,1.0,"2025-10-18 09:42:31","We were just contacted also. Did you find out anything? The landman that I spoke to said $400 per acre for the lease. Waiting for the paperwork in order to have an attorney look at it."
14,https://www.mineralrightsforum.com/t/new-lease-help/82214,2025-09-09T13:21:40Z,SalsterBLB,arkansas,"Columbia County",,Saltwerx,"$400 per acre",400.0,,,"5 year lease",5.0,,,"2025-10-18 09:42:32","they told us we can lease this acreage for $400 per acre for a 5 year lease. then there is a 10 year option at $75 per acre annually.  I truly don’t understand what that means.  Could you explain it a little to me please."
15,https://www.mineralrightsforum.com/t/promising-activity-in-this-area/83528,2025-09-09T15:22:14Z,Marilyn_Tyra_Gilbreath,texas,"Leon County",A-162,"High Mark",,,,,3/2,2.5,,,"2025-10-18 09:42:45","Alan, I only post every few years, but read and respect your posts. This time, I have info to offer. You mentioned Grizzly—I recently signed a 3/2 lease with them and am awaiting the check. Their landman said they were leasing for High Mark, a subsidiary of Vendera. Formations Haynesville/Bossier shale/Sprayberry were mentioned. He mentioned that 30 miles NE of this area Comstock had oil prospects, but for these leases, they want to drill for gas. (Yes, I’ve read the comments about not allowing a 2-yr option to renew, but I thought I was doing good to talk them down from a 5-yr to 3/2.)"
16,https://www.mineralrightsforum.com/t/surprise-valley-offer-leon-co/83568,2025-09-10T13:41:26Z,RioStarr,texas,"Leon County",,"Comstock Resources",$500,500.0,20%,0.2,"5 years",5.0,,1.0,"2025-10-18 09:42:47","I have been offered a lease for $500 / 20% with 5 year lease 2 year opt."
17,https://www.mineralrightsforum.com/t/will-wv-government-send-me-a-tax-bill-on-my-rights-and-royalties/83473,2025-09-05T19:07:58Z,DCgasBaron,west_virginia,"Wetzel County",,Antero,"lease bonus from Antero",,,,,,,1.0,"2025-10-18 09:42:53","The mineral rights in both parcels are separate from surface ownership. I got a lease bonus from Antero in Jan 2023, but only paid DC and federal tax on it as normal income for that year. Turbo Tax did not prompt me as to what state it was from. I’m sure the state will track me down if they want something. The govenor has skipped his taxes a bit, so we all should too."
18,https://www.mineralrightsforum.com/t/does-a-lease-override-a-force-pooling-order/83411,2025-09-01T21:09:42Z,Heir1,west_virginia,"Wetzel County",,EQT,"",,"14% NET",0.14,"",,,1.0,"2025-10-18 09:43:09","I own two NMA’s of mineral rights in Proctor District that were taken under a WVOGCC Force Pool order for EQT after I could not come to terms with EQT about a lease. Under the order my royalty rate is 20% for the Utica formation only. Now EQT has contacted me about signing a lease for the same parcel of land which reads “…in all formations or strata…” at 14% NET. If I were to sign this lease, would the 14% NET rate supersede the 20% rate for the Utica or would it only apply to the other formations underlying the parcel such as the Marcellus, but not the Utica? Also, if I was instead subjected to a “Standard Lease” under Cotenacy on this parcel, would the royalty rate in that lease supersede the Force Pool royalty rate? What takes precedence, a Force Pool order or a lease?"
19,https://www.mineralrightsforum.com/t/surprise-valley-resources-mineral-leasing/81947,2025-06-13T23:05:09Z,duboisbobby,texas,"Leon County",,"Sun Valley","$500 per acre",500.0,20%,0.2,"",,,,"2025-10-18 09:43:36","Through inheritance I now am the proud owner of mineral rights on 1.5 acres in abstract 238 Leon county. I was offered $8800 to sell then negotiated to$15,000. Sun Valley has offered $500 per acre lease and 20 percent royalty which i have negotiated to 22.5 but holding out for 25. Does anyone know of any pending activity here or have any suggestions."
20,https://www.mineralrightsforum.com/t/surprise-valley-resources-mineral-leasing/81947,2025-06-13T23:05:09Z,duboisbobby,texas,"Leon County",,"Sun Valley","$500 per acre",500.0,22.5%,0.225,"",,,,"2025-10-18 09:43:36","Through inheritance I now am the proud owner of mineral rights on 1.5 acres in abstract 238 Leon county. I was offered $8800 to sell then negotiated to$15,000. Sun Valley has offered $500 per acre lease and 20 percent royalty which i have negotiated to 22.5 but holding out for 25. Does anyone know of any pending activity here or have any suggestions."
21,https://www.mineralrightsforum.com/t/surprise-valley-resources-mineral-leasing/81947,2025-06-14T20:20:31Z,Mineral_Owner5,texas,"Leon County",,"Surprise Valley Resources","$1000/net mineral acre",1000.0,1/4,0.25,"3 years",3.0,,,"2025-10-18 09:43:39","You can easily get a 1/4 royalty and a minimum of $1,000/net. mineral acre for a 3 year lease with no options. A cost free royalty or as near to it as you can get. If they don’t lease it someone else will and you will get your price. A good lease form is a must. Hang tough! Good Luck. Get a cashier’s check when you lease it, DON’T SELL"
22,https://www.mineralrightsforum.com/t/new-drilling-proposal/83504,2025-09-06T17:14:31Z,RCH,oklahoma,"Atoka County",,"Sequel Resources",unknown,,unknown,,unknown,,,0.8,"2025-10-18 09:44:03","In October 2022 I received a lease offer on my mineral interest from Jess Harris III on behalf of Sequel Resources.  I did not accept the lease offer because we could not agree on the terms although all my relatives did sign.  Thursday I received a certified letter from R.D. Williams (excerpt attached) on behalf of Sanguine Gas Exploration.  This offer is $200 less per net acre from the original offer plus it lists a lot of expenses that I don’t understandIf I remember correctly I have read that it is better to be force pooled.  Is that correct in this instance?  What should my next steps be?  Thank you for any advice you can provide."
24,https://www.mineralrightsforum.com/t/custer-county-lease-offer/83433,2025-09-04T17:41:27Z,bjs2,,"Custer County","Section 20-12-14",Mewbourne,"$500.00 @ 1/8th",500.0,1/8,0.125,"3 years with a 2 year option",3.0,,1.0,"2025-10-18 09:44:11","We were offered $500.00 @ 1/8th or $250.00 for 3/16ths, for 3 years with a 2 year option, in Section 20-12-14.  I told them to get the low hanging fruit and then call back when they had a serious offer.  Never take the first offer, and avoid options at all times."
25,https://www.mineralrightsforum.com/t/custer-county-lease-offer/83433,2025-09-04T17:41:27Z,bjs2,,"Custer County","Section 20-12-14",Mewbourne,"$250.00 for 3/16ths",250.0,3/16,0.1875,"3 years with a 2 year option",3.0,,1.0,"2025-10-18 09:44:11","We were offered $500.00 @ 1/8th or $250.00 for 3/16ths, for 3 years with a 2 year option, in Section 20-12-14.  I told them to get the low hanging fruit and then call back when they had a serious offer.  Never take the first offer, and avoid options at all times."
26,https://www.mineralrightsforum.com/t/custer-county-lease-offer/83433,2025-09-08T22:27:34Z,Candi_Choumas,,"Custer County","Section 20-12-14",Mewbourne,$500/acre,500.0,3/16,0.1875,"2 years",2.0,,1.0,"2025-10-18 09:44:16","Can someone explain to me why it is better to take the higher royalty than the higher price per acre?  I have a company offering me a lease on my mineral rights.  The last time I leased another parcel I have in a different area I negotiated a 200% option on a 2 year lease.  This time they only want to offer me a 150% lease option at the 2 year lease. When I try and bring the royalty up to 1/4 or 1/5 than they drop the dollar amount to $500 an acre at 3/16 it is  $750. an acre   Can someone please clarify"
27,https://www.mineralrightsforum.com/t/custer-county-lease-offer/83433,2025-09-08T22:27:34Z,Candi_Choumas,,"Custer County","Section 20-12-14",Mewbourne,$750/acre,750.0,3/16,0.1875,"2 years",2.0,,1.0,"2025-10-18 09:44:16","Can someone explain to me why it is better to take the higher royalty than the higher price per acre?  I have a company offering me a lease on my mineral rights.  The last time I leased another parcel I have in a different area I negotiated a 200% option on a 2 year lease.  This time they only want to offer me a 150% lease option at the 2 year lease. When I try and bring the royalty up to 1/4 or 1/5 than they drop the dollar amount to $500 an acre at 3/16 it is  $750. an acre   Can someone please clarify"
