API_Number,Entity_Name,Well_Name,Well_Number,State,County,Section,Township,Range,PBH_Section,PBH_Township,PBH_Range,Formation_Name,Formation_Depth,Total_Depth,Measured_Total_Depth,True_Vertical_Depth,Well_Type,Well_Status,Permit_Type,Well_Class,Surf_Long_X,Surf_Lat_Y,Proposed_Bottom_Hole_Long_X,Proposed_Bottom_Hole_Lat_Y
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,ARBUCKLE,5700.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,SIMPSON GP,5490.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,VIOLA,5400.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,SYLVAN,5350.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,MISENER,5320.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,MISSISSIPPIAN,4900.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,DES MOINES,4560.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,LANSING-KANSAS CITY,4400.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35003234270000,TRANS PACIFIC OIL CORPORATION,KORFF A,1-6,OK,ALFALFA,6.0,28N,12W,6.0,28N,12W,TONKAWA,4140.0,5700.0,0.0,0.0,OIL,AC,ITD,O&G,-98.53233,36.94058,0.0,0.0
35007000060000,STEPHENS EXPLORATION INC,Jacob,1-36,OK,,,,,,,,,,6000.0,0.0,0.0,OG,AC,ITD,OG,,,0.0,0.0
